Riding winner loser Conservative Liberal Progressive United-Farmers-of-Alberta Labour Independent United-Farmers-of-Ontario Unknown
Victoria-City Tolmie,Simon-Fraser IVEL,William-McKinnon 7485 5033 0 0 0 0 0 0
Victoria--Carleton Caldwell,Thomas-Wakem Smith,Benjamin-Franklin 5361 0 6413 0 0 0 0 0
Waterloo-North Euler,William-Daum HETT,John-Emil 0 7466 4994 0 0 0 0 0
Waterloo-South Elliott,William Scott,Frank-Stewart 6629 0 7429 0 0 0 0 0
Welland German,William-Manley Fraser,Evan-Eugene 6365 11195 3437 0 0 156 0 0
Wellington-North Pritchard,John Clarke,William-Aurelius 3874 0 5138 0 0 0 0 0
Wellington-South Guthrie,Hugh SINGER,James 6208 4662 0 0 6077 0 0 0
Wentworth Wilson,Gordon-Crooks WOODLEY,Christopher-Frederic 9375 3177 9246 0 0 0 0 0
Westmorland Copp,Arthur-Bliss Price,Otto-Baird 4884 12646 3059 0 0 0 0 0
Westmount--Saint-Henri Mercier,Paul LAMARRE,Wilfrid 7195 17583 0 0 0 0 0 0
Weyburn Morrison,John Thompson,Richard-Frederick 2539 0 6635 0 0 0 0 0
Winnipeg-Centre Woodsworth,James-Shaver MCIVOR,Norman-Kitson 4034 4032 0 0 7774 2314 0 1220
Winnipeg-North McMurray,Edward-James RUSSELL,Robert-Boyd 3045 3809 0 0 565 0 0 3094
Winnipeg-South Hudson,Albert-Blellock Jackson,George 7704 10570 0 0 0 0 0 1185
Wright Gendron,Romuald-Montézuma ELLARD,Herbert-Miller 1551 4510 1590 0 0 0 0 0
Yale MacKelvie,John-Armstrong SUTHERLAND,Daniel-Wilbur 6475 5933 0 0 0 0 0 0
Yamaska Boucher,Aimé PLANTE,Rémi 0 4130 2462 0 0 0 0 0
Yarmouth-and-Clare Hatfield,Paul-Lacombe Spinney,Edgar-Keith 5608 7165 0 0 0 0 0 0
York-East Harris,Joseph-Henry ROSS,Austin-Gregory 10978 4440 0 0 3074 0 0 0
York-North King,William-Lyon-Mackenzie Armstrong,John-Alexander-Macdonald 4112 5167 2973 0 0 0 0 0
York-South Maclean,William-Findlay MACGREGOR,Alexander 0 8015 3276 0 0 10368 0 0
York-West Drayton,Henry-Lumley Streight,John-Everett-Lyle 8850 7989 2710 0 0 0 0 0
York--Sunbury Hanson,Richard-Burpee OSBORNE,William-James 7777 6911 0 0 0 0 0 0
Yukon Black,George Congdon,Frederick-Tennyson 707 658 0 0 0 0 0 0
